"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex_life","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","Battery","Solar","CHP","Fuel_Cell","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","ntile"
"1","1381 - CASPER WY","WY","US","445 NEWPORT RD, CASPER, WY, 82609",0,31,1260900,-810299.9629,"0.15",0,"0",62.5,235,57.5,57.5,-1675234.121,0,NA,NA,NA,961.25,1
"2","5161 JACKSONVILLE NC","NC","US","2001 MARLIN UNIT 600, JACKSONVILLE, NC, 28546",0,31,761400,-580473.332,"0.15",0,"0",37.5,140,35,35,-1058215.894,0,NA,NA,NA,581.25,1
"3","SAN DIEGO","CA","US","1640 N CAMINO DEL RIO, SAN DIEGO, CA, 92018",0,31,79380,-15750.41455,"0.15",0,"0",11,25,3.5,0,-87433.72635,0,NA,NA,NA,59,1
"4","SAC GATEWAY CA","null","null","3631 N FREEWAY BLVD, SACRAMENTO, CA, 95834",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"5","09989-BUFF - AMHERST","null","null","1261 NIAGARA FALLS BLVD, AMHERST, NY, 14226",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"6","09173-AMARILLO (RELO 1011 3/29","null","null","2203 S WESTERN ST 600, AMARILLO, TX, 79109",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"7","02070-BIRM - TRUSSVILLE","null","null","1632 GADSDEN HWY, BIRMINGHAM, AL, 35235",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"8","08407-SEA - KIRKLAND","WA","US","9755 JUANITA DR NE, KIRKLAND, WA, 98034",0.041,18.9,18900,22998.62747,"0.15",291.1753515,"6800.195928",0,1,0,2,-7140.014153,3477.17306,NA,NA,NA,13,1
"9","07808-S.ANT - SAN ANTONIO/LA C","TX","US","17802 LA CANTERA PKWY STE 104, SAN ANTONIO, TX, 78257",0.068,13.8,18900,28934.96584,"0.15",312.92352,"7299.474702",0,1,0,2,-4104.561052,3732.471395,NA,NA,NA,13,1
"10","05060 - BOS-BRAINTREE (RELO FR","MA","US","145 PEARL ST, BRAINTREE, MA, 2184",0.167,5.7,11610,38649.02702,"0.15",321.2142228,"7391.854329",1.5,2.5,1,0,8152.571102,3779.708262,NA,NA,NA,9.75,1
"11","02119-INDY - CASTLETON","IN","US","5151 E 82ND ST STE 300, INDIANAPOLIS, IN, 46250",0.123,7.7,19440,46665.34561,"0.15",342.6048864,"7807.453848",2.5,6,1,0,4421.589329,3992.218529,NA,NA,NA,14.75,1
"12","09409-CIN - PAXTON","OH","US","3862 PAXTON AVE, CINCINNATI, OH, 45209",0.092,10.6,25110,47971.79636,"0.15",386.28219,"8808.26526",3,7.5,1.5,0,-580.3776609,4503.967678,NA,NA,NA,19.5,1
"13","01169-DFW-GRANDBURY","TX","US","3906 US HWY 377 STE 114, GRANBURY, TX, 76048",0.061,14.7,38070,55738.83714,"0.15",447.0863315,"10179.74549",5,11.5,2,0,-9568.823719,5205.252486,NA,NA,NA,29,1
"14","02786-PITT - GREENSBURG","PA","US","SOUTH ANNEX US RTE 30 E STE 78, GREENSBURG, PA, 15601",0.048,17,53190,69792.8934,"0.15",576.3285855,"13148.68391",6.5,17.5,2.5,0,-17502.50345,6723.372378,NA,NA,NA,39.75,1
"15","04815-PITT - CRANBERRY","PA","US","20111 RT 19, CRANBERRY TOWNSHIP, PA, 16066",0.051,16.5,59400,79614.48747,"0.15",637.9690005,"14517.94358",7.5,20,2.5,0,-18690.38605,7423.521738,NA,NA,NA,43.75,1
"16","01269 DFW EULESS","TX","US","2901 RIO GRANDE BLVD, EULESS, TX, 76039",0.057,15.5,72090,100632.0477,"0.15",777.5990793,"17655.65352",10.5,22.5,3,0,-20633.38775,9027.940286,NA,NA,NA,53.25,1
"17","01064-RAL-HOLLY SPRINGS-OPENS","NC","US","164 GRAND HILL PLACE, HOLLY SPRINGS, NC, 27540",0.092,10.6,58320,110225.9928,"0.15",816.8337375,"18558.79752",7,20,2.5,0,-1957.675069,9489.748743,NA,NA,NA,43,1
"18","05727-CIN - HAMILTON","OH","US","3455 PRINCETON RD, HAMILTON, OH, 45011",0.051,16.4,103410,138379.6398,"0.15",1107.941953,"25232.18332",14.5,32.5,4.5,0,-32651.75118,12902.07944,NA,NA,NA,76.75,1
"19","01090 - PHI-MARLTON","NJ","US","101 ROUTE 73 S, MARLTON, NJ, 8053",0.158,5.9,48060,147426.9853,"0.15",1071.275465,"24409.23446",6,15,2.5,0,27324.46642,12481.27751,NA,NA,NA,36.5,1
"20","01253 LINCOLN 48TH ST","NE","US","400 N 48TH ST, LINCOLN, NE, 68504",0.069,13.6,103410,162025.5393,"0.15",1215.156239,"27635.61248",14.5,32.5,4.5,0,-20560.79296,14131.03508,NA,NA,NA,76.75,1
"21","SACRAMENTO ARDEN","CA","US","2100 ARDEN WAY STE 125, SACRAMENTO, CA, 95825",0.147,6.4,58320,162968.6845,"0.15",1165.379041,"26454.56571",7,20,2.5,0,25011.46946,13527.12542,NA,NA,NA,43,1
"22","01182 N ORL-MAGNOLIA","LA","US","2900 S CLAIBORNE AVE, NEW ORLEANS, LA, 70125",0.1,9.3,85590,170208.193,"0.15",1262.705585,"28704.11641",11,27.5,4,0,1443.278109,14677.39773,NA,NA,NA,64,1
"23","5132 FEASTERVILLE","PA","US","174 W STREET RD, FEASTERVILLE-TREVOSE, PA, 19053",0.096,9.8,90720,177270.7139,"0.15",1357.25929,"30848.27509",11.5,30,4,0,-75.41311949,15773.77949,NA,NA,NA,67.25,1
"24","09924-LOGAN","UT","US","1427-B N MAIN ST, LOGAN, UT, 84341",0.083,11.9,101250,177362.1282,"0.15",1295.76518,"29411.44515",14.5,32.5,4,0,-10558.66986,15039.07914,NA,NA,NA,74.25,1
"25","03727-DFW - DENTON","TX","US","1800 S LOOP 288 STE 106, DENTON, TX, 76205",0.105,9,85590,177764.9191,"0.15",1326.333971,"30160.06656",11,27.5,4,0,5307.290913,15421.8749,NA,NA,NA,64,1
"26","04718-AUS - ROUND ROCK","TX","US","3021 S IH-35 STE 190, ROUND ROCK, TX, 78664",0.051,16.4,135810,180813.6298,"0.15",1399.415119,"31764.06076",20,42.5,5.5,0,-43353.7989,16242.05207,NA,NA,NA,100,1
"27","02056-MYRTLE BEACH","SC","US","554 SEABOARD ST, MYRTLE BEACH, SC, 29577",0.111,8.5,86670,190232.7002,"0.15",1431.464207,"32550.7945",11.5,27.5,4,0,10602.49439,16644.33597,NA,NA,NA,64.75,1
"28","03008-LA - TORRANCE","CA","US","4240 PACIFIC COAST HWY, TORRANCE, CA, 90505",0.195,4.6,53190,198444.8496,"0.15",1417.380015,"32217.42726",6.5,17.5,2.5,0,48281.64762,16473.87389,NA,NA,NA,39.75,1
"29","05088 TYLER TX","TX","US","5839 S BROADWAY AVE, TYLER, TX, 75703",0.058,15.2,142020,201565.8903,"0.15",1540.366972,"34982.97795",20,45,6,0,-38952.45737,17887.99466,NA,NA,NA,105,1
"30","01405-DET - ROSEVILLE","MI","US","32078 GRATIOT AVE, ROSEVILLE, MI, 48066",0.15,6.3,72090,207340.7302,"0.15",1467.386479,"33307.4341",10.5,22.5,3,0,33930.41603,17031.23171,NA,NA,NA,53.25,1
"31","05740-RIO GRANDE","null","US","3201 ROUTE 9 S, RIO GRANDE, NJ, 8242",0.176,5.3,59400,209504.7955,"0.15",1460.8838,"33161.8402",7.5,20,2.5,0,47726.9767,16956.78457,NA,NA,NA,43.75,1
"32","09805-PORT - CLACKAMAS","OR","US","11211 SE 82ND AVE STE F, PORTLAND, OR, 97266",0.059,15.3,146070,213713.7011,"0.15",1626.270842,"37076.80405",20,47.5,6,0,-36790.86571,18958.63966,NA,NA,NA,107.5,1
"33","09984-MSP - COON RAPIDS","MN","US","44 NW COON RAPIDS BLVD, COON RAPIDS, MN, 55448",0.091,11.1,114750,214233.8935,"0.15",1594.613534,"36356.68113",15,37.5,5,0,-5204.873544,18590.41614,NA,NA,NA,85,1
"34","PHX - PHOENIX/ N 7TH AZ","AZ","US","735 E BELL RD, PHOENIX, AZ, 85022",0.16,5.8,72090,218015.7526,"0.15",1606.561214,"36426.8026",10.5,22.5,3,0,39388.92054,18626.27165,NA,NA,NA,53.25,1
"35","05138 PHX GLENDALE AZ","AZ","US","72320 W BELL RD, GLENDALE, AZ, 85308",0.185,4.9,62640,221157.8837,"0.15",1625.15617,"36920.36264",8,20,3,0,50445.59981,18878.64581,NA,NA,NA,47,1
"36","09201-HUNTINGTON","WV","US","10 E MALL RD, BARBOURSVILLE, WV, 25504",0.065,14.3,148230,224240.5638,"0.15",1691.907292,"38524.10939",20,47.5,6.5,0,-33568.1203,19698.69644,NA,NA,NA,110,1
"37","05808-VEGAS - SAHARA","NV","US","1251 S DECATUR BLVD, LAS VEGAS, NV, 89102",0.106,8.8,108540,226746.3216,"0.15",1667.644775,"37805.15482",15,35,4.5,0,7403.159465,19331.07035,NA,NA,NA,80,1
"38","07807-BROWNSVILLE","TX","US","571 E MORRISON RD, BROWNSVILLE, TX, 78526",0,31,2538000,229311.9226,"0.15",13182.04248,"303682.4319",125,500,112.5,112.5,-2420744.961,155283.2275,NA,NA,NA,1925,1
"39","01187 - CHATTANOOGA-HIXSON","TN","US","625 NORTHGATE MALL DR, CHATTANOOGA, TN, 37415",0.14,6.7,90720,240225.3096,"0.15",1758.482837,"39917.89362",11.5,30,4,0,32115.42761,20411.38605,NA,NA,NA,67.25,1
"40","09951-INDY - WESTFIELD","IN","US","14670 US HWY 31 N, CARMEL, IN, 46032",0.096,9.7,126360,245828.587,"0.15",1811.816328,"41226.51988",17.5,40,5.5,0,-659.4247491,21080.53147,NA,NA,NA,93.75,1
"41","05056-OCALA","FL","US","2701 SW COLLEGE RD, OCALA, FL, 34474",0.116,8.1,108540,247067.2139,"0.15",1899.276769,"43138.51466",15,35,4.5,0,17793.92762,22058.19988,NA,NA,NA,80,1
"42","01581-PITT - WATERFRONT","PA","US","660 WATERFRONT DR E, MUNHALL, PA, 15120",0.179,5.1,72090,247506.1841,"0.15",1768.153388,"40234.3842",10.5,22.5,3,0,54468.38812,20573.21852,NA,NA,NA,53.25,1
"43","07775-RUTLAND","VT","US","324 S MAIN ST, RUTLAND, VT, 5701",0.18,5.1,72090,250082.2822,"0.15",1740.734302,"39600.85126",10.5,22.5,3,0,55785.63529,20249.27143,NA,NA,NA,53.25,1
"44","03849-CHI - SKOKIE","IL","US","7055 N CENTRAL AVE, SKOKIE, IL, 60077",0.18,5,75060,254512.5343,"0.15",1772.573837,"40158.33405",11,25,2.5,0,55080.97492,20534.33148,NA,NA,NA,54,1
"45","02876-CHATTANOOGA","TN","US","2200 HAMILTON PLACE BLVD, CHATTANOOGA, TN, 37421",0.123,7.6,108540,255702.7879,"0.15",1879.952393,"42672.90961",15,35,4.5,0,22209.59232,21820.12007,NA,NA,NA,80,1
"46","PHI-POTTSTOWN PA","PA","US","223 SHOWMAKER RD #117, POTTSTOWN, PA, 19464",0.09,11.1,146070,272203.0601,"0.15",2076.311352,"47205.95709",20,47.5,6,0,-6883.253426,24138.02249,NA,NA,NA,107.5,1
"47","02740-NWK - MT OLIVE","NJ","US","30 INTERNATIONAL DR STE J, FLANDERS, NJ, 7836",0.105,8.9,135810,283029.5459,"0.15",2230.853205,"50733.25777",20,42.5,5.5,0,8912.699521,25941.65212,NA,NA,NA,100,1
"48","06730-TAMPA - PINELLAS PARK","FL","US","7240 US HWY 19N, PINELLAS PARK, FL, 33781",0.096,9.7,146070,284857.3717,"0.15",2237.348527,"50798.21733",20,47.5,6,0,-412.6705184,25974.86817,NA,NA,NA,107.5,1
"49","05064 BUCKINGHAM PLAZA","FL","US","340 S STATE RD 7, WELLINGTON, FL, 33414",0.115,8.2,126360,286290.8298,"0.15",2074.162875,"47149.99517",17.5,40,5.5,0,20030.3057,24109.40725,NA,NA,NA,93.75,1
"50","09049-DEERFIELD BEACH","FL","US","3701 W HILLSBORO BLVD, DEERFIELD BEACH, FL, 33442",0.096,9.7,152280,298029.7136,"0.15",2354.250619,"53450.19258",20,50,6.5,0,112.7990103,27330.91394,NA,NA,NA,112.5,1
"51","01189 - DEN-SHERIDAN","CO","US","3710 RIVER POINT PKWY, SHERIDAN, CO, 80110",0.124,7.6,126360,302247.7142,"0.15",2198.899429,"49930.02829",17.5,40,5.5,0,28189.60713,25530.93339,NA,NA,NA,93.75,1
"52","02031-NWK - WATCHUNG","NJ","US","1701 US HWY 22 STE 65, WATCHUNG, NJ, 7069",0.124,7.6,126360,305763.2057,"0.15",2295.280156,"52243.25718",17.5,40,5.5,0,29987.19832,26713.76653,NA,NA,NA,93.75,1
"53","02027- O FALLON - HWY K","MO","US","2220 HWY K, O FALLON, MO, 63366",0.109,8.6,148230,317114.493,"0.15",2336.340722,"53078.04414",20,47.5,6.5,0,13921.50026,27140.6217,NA,NA,NA,110,1
"54","01262-KALISPELL","MT","US","145 TREELINE RD, KALISPELL, MT, 59901",-0.054,31,585900,333686.1305,"0.15",5812.347599,"134668.142",27.5,105,27.5,27.5,-415274.8539,68860.4329,NA,NA,NA,448.75,1
"55","05115 - BOULDER CO","CO","US","1880 30TH ST, BOULDER, CO, 80301",0.118,8,146070,335372.9704,"0.15",2427.468563,"55104.21818",20,47.5,6,0,25417.68507,28176.67387,NA,NA,NA,107.5,1
"56","08798-CHI - ROOSEVELT RD","IL","US","1101 S CANAL ST 002, CHICAGO, IL, 60607",0.18,5,101250,344048.3925,"0.15",2518.529504,"57165.90748",14.5,32.5,4,0,74673.72546,29230.88622,NA,NA,NA,74.25,1
"57","09815-S.ANT - ALAMO QUARRY","TX","US","255 E BASSE RD STE 120, SAN ANTONIO, TX, 78209",0.117,8,159840,363632.6889,"0.15",2648.621775,"60167.82457",22.5,50,7,0,26097.84693,30765.86923,NA,NA,NA,118.75,1
"58","09934-ATL - NEWNANA","GA","US","575 BULLSBORO DR, NEWNAN, GA, 30265",0.113,8.3,167940,372543.0527,"0.15",2691.950225,"61105.27172",22.5,55,7,0,22554.02108,31245.21806,NA,NA,NA,123.75,1
"59","01230-BOS - STONEHAM","MA","US","111 MAIN ST, STONEHAM, MA, 2180",0.521,1.4,32130,373643.5799,"0.15",2545.780852,"57791.15876",4,10.5,1.5,0,158926.7583,29550.59861,NA,NA,NA,24,1
"60","01563- LEE S SUMMIT - CHIPMAN","MO","US","1615 N W CHIPMAN RD, LEE S SUMMIT, MO, 64081",0.115,8.2,167940,375688.3805,"0.15",2716.556717,"61663.82082",22.5,55,7,0,24162.33491,31530.82335,NA,NA,NA,123.75,1
"61","07809-PHI - DEPTFORD","NJ","US","2000 CLEMENTS BRIDGE RD, WOODBURY, NJ, 8096",0.16,5.8,126360,387653.9266,"0.15",2767.828502,"62970.20265",17.5,40,5.5,0,71860.72841,32198.82111,NA,NA,NA,93.75,1
"62","05018-CHI - VERNON HILLS (RELO","IL","US","701 N MILWAUKEE AVE, VERNON HILLS, IL, 60061",0.196,4.6,107460,400034.2815,"0.15",2875.704401,"65276.29372",14.5,35,4.5,0,97091.22782,33378.00445,NA,NA,NA,79.25,1
"63","09037-ORL - CLERMONT","FL","US","2313 S US HIGHWAY 27, CLERMONT, FL, 34711",0.117,8.1,185760,426450.9732,"0.15",3079.613875,"69952.30277",25,60,8,0,32298.987,35769.00802,NA,NA,NA,137.5,1
"64","09944-PITT - SOUTH HILLS","PA","US","4000 OXFORD DR, BETHEL PARK, PA, 15102",0.034,20.3,383400,444553.8819,"0.15",5362.556502,"123971.4964",20,70,17.5,17.5,-156084.3758,63390.87166,NA,NA,NA,292.5,1
"65","02040-ROCH - VICTOR","NY","US","8072 ROUTE 96, VICTOR, NY, 14564",0.26,3.3,86670,444656.7938,"0.15",3098.238008,"70612.04303",11.5,27.5,4,0,140698.2465,36106.3558,NA,NA,NA,64.75,1
"66","02105-PROV - NORTH ATTLEBOROUG","MA","US","1385 S WASHINGTON ST, NORTH ATTLEBOROUGH, MA, 2760",0.163,5.7,146070,455206.1445,"0.15",3421.546845,"77665.45501",20,47.5,6,0,86692.4908,39713.00691,NA,NA,NA,107.5,1
"67","03007-LA - WHOLESALE/RETAIL","CA","US","738 WALL ST, LOS ANGELES, CA, 90014",0.224,3.9,108540,467966.6391,"0.15",3301.920395,"74877.29659",15,35,4.5,0,130747.3687,38287.32602,NA,NA,NA,80,1
"68","01257-TORRINGTON","CT","US","1852 E MAIN ST, TORRINGTON, CT, 6790",0.385,2.1,59400,482197.5115,"0.15",3299.961479,"74908.62399",7.5,20,2.5,0,187164.1011,38303.34479,NA,NA,NA,43.75,1
"69","08734-MOREHEAD CITY","NC","US","5160 HWY 70 W STE 400, MOREHEAD CITY, NC, 28557",0.059,15.2,333450,482534.2829,"0.15",4714.824118,"108776.7051",17.5,62.5,15,15,-86713.69613,55621.2545,NA,NA,NA,253.75,1
"70","S JOSE MILPITAS","CA","US","15 RANCH DR, SANTA CLARA, CA, 95035",0.234,3.7,107460,485427.5942,"0.15",3451.377066,"78310.0315",14.5,35,4.5,0,140755.753,40042.60094,NA,NA,NA,79.25,1
"71","01174 - WILTON","CT","US","14 DANBURY RD, WILTON, CT, 6897",0.29,2.9,83430,487662.2428,"0.15",3384.454835,"76954.85685",11,27.5,3.5,0,165928.4054,39349.65373,NA,NA,NA,61.5,1
"72","08733-PALM SPRINGS","CA","US","2465 E PALM CANYON BLDG 3, PALM SPRINGS, CA, 92264",0.179,5.1,148230,503125.6353,"0.15",3609.307387,"81894.00933",20,47.5,6.5,0,109035.3675,41875.21154,NA,NA,NA,110,1
"73","09705-MIA - DADELAND","FL","US","8354 S DIXIE HWY, MIAMI, FL, 33143",0.026,22.6,487350,526844.8339,"0.15",7100.357029,"163883.8841",25,87.5,22.5,22.5,-217956.1939,83799.44238,NA,NA,NA,372.5,1
"74","08727-ALBANY - LATHAM","NY","US","579 TROY SCHENECTADY ROAD, LATHAM, NY, 12110",0.161,5.7,179550,546971.4216,"0.15",3903.417035,"88790.02927",25,57.5,7.5,0,100135.2196,45401.3827,NA,NA,NA,132.5,1
"75","02039-JACKSONVILLE","NC","US","1250 WESTERN BLVD STE J, JACKSONVILLE, NC, 28546",0.074,12.9,333450,548264.7447,"0.15",5138.937969,"118561.5255",17.5,62.5,15,15,-53103.45996,60624.56828,NA,NA,NA,253.75,1
"76","02101-ALBQ - MONTGOMERY PLAZA","NM","US","4410 WYOMING BLVD NE, ALBUQUERQUE, NM, 87111",0.162,5.7,179550,553190.9352,"0.15",3923.805876,"89066.20162",25,57.5,7.5,0,103315.4699,45542.59908,NA,NA,NA,132.5,1
"77","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,561304.4286,"0.15",3798.232522,"86212.33918",11,25,3,0,209794.177,44083.32148,NA,NA,NA,56.5,1
"78","09901-DFW -PLANO/HWY 121","TX","US","8700 PRESTON RD STE 107, PLANO, TX, 75024",0.009,27.1,599400,564018.1545,"0.15",6756.786086,"155909.9978",30,110,27.5,27.5,-310998.2021,79722.12121,NA,NA,NA,457.5,1
"79","06820-VANCOUVER/MILL PLAIN BLV","WA","US","16601 SE MILL PLAIN BLVD, VANCOUVER, WA, 98684",-0.024,31,774900,570490.1916,"0.15",8489.259316,"196459.7313",40,145,35,35,-483188.8279,100456.5886,NA,NA,NA,590,1
"80","00400-DALLAS/PRESTON ROYAL/TX","TX","US","6025 ROYAL LN, DALLAS, TX, 75203",0.078,12.3,342900,581053.7059,"0.15",5474.292105,"126177.4391",20,65,15,15,-45787.34123,64518.84572,NA,NA,NA,260,1
"81","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,582504.7402,"0.15",4012.392772,"91351.31812",11,25,3.5,0,218474.6223,46711.0574,NA,NA,NA,59,1
"82","02739-SEA - LAKEWOOD","WA","US","5730 LAKEWOOD TOWNE CENTER BLV, LAKEWOOD, WA, 98499",-0.02,31,774900,583144.6429,"0.15",7775.974442,"179952.7842",40,145,35,35,-476718.1735,92016.02126,NA,NA,NA,590,1
"83","01092-DFW - ARLINGTON/NORTH (O","TX","US","130 LINCOLN SQUARE, ARLINGTON, TX, 76011",0.013,26.1,608850,590044.0173,"0.15",6923.579266,"159780.8454",32.5,112.5,27.5,27.5,-307140.2871,81701.41814,NA,NA,NA,463.75,1
"84","01243-DFW-ALLEN","TX","US","965 W BETHANY DR, ALLEN, TX, 75013",0.039,19,487350,590203.5455,"0.15",6375.094625,"147161.5809",25,87.5,22.5,22.5,-185558.7149,75248.75603,NA,NA,NA,372.5,1
"85","PACE FL","FL","US","4879 HWY 90, PACE, FL, 32571",0.052,16.4,437400,593909.8086,"0.15",5973.810388,"137826.9974",22.5,80,20,20,-133713.5756,70475.66386,NA,NA,NA,333.75,1
"86","07814-KEIZER","OR","US","6445 KEIZER STATION BLVD NE, KEIZER, OR, 97303",0.064,14.5,383400,594757.7642,"0.15",5986.575473,"138606.8274",20,70,17.5,17.5,-79279.98692,70874.41762,NA,NA,NA,292.5,1
"87","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,597802.3837,"0.15",4163.32684,"94505.2462",11,27.5,3.5,0,222246.8313,48323.76884,NA,NA,NA,61.5,1
"88","ATHENS GA","GA","US","196 ALPS RD, ATHENS, GA, 30606",0.175,5.3,179550,598916.2455,"0.15",4213.677365,"95645.97474",25,57.5,7.5,0,126696.387,48907.06241,NA,NA,NA,132.5,1
"89","01572-DFW - PLANO/PARK","TX","US","6401 W PLANO PKWY STE 130, PLANO, TX, 75093",0.041,18.3,494100,603410.1179,"0.15",4827.269059,"109747.2965",67.5,155,22.5,0,-185555.7421,56117.55114,NA,NA,NA,368.75,1
"90","09536-CHLT - HARRIS","NC","US","8716 JW CLAY BLVD, CHARLOTTE, NC, 28262",0.027,22.3,581850,634958.9437,"0.15",7051.214662,"162776.5273",27.5,102.5,27.5,27.5,-257173.7471,83233.21291,NA,NA,NA,446.25,1
"91","03856-NWK - HOLMDEL","NJ","US","2130 STATE ROUTE 35, HOLMDEL, NJ, 7733",-0.088,31,1220400,653645.5889,"0.15",14688.39128,"339136.3558",62.5,230,55,55,-886168.6254,173412.0329,NA,NA,NA,928.75,1
"92","01295 - L RCK - CONWAY AR","AR","US","1284 S AMITY RD, CONWAY, AR, 72032",0.027,22.3,608850,662181.3404,"0.15",7200.610466,"166306.2805",32.5,112.5,27.5,27.5,-270254.0034,85038.09661,NA,NA,NA,463.75,1
"93","01152-WESTERLY-OPENS 04/14/13","RI","US","15 AIRPORT RD, WESTERLY, RI, 2891",0.282,3,126360,712728.1619,"0.15",5035.086361,"114597.5947",17.5,40,5.5,0,238082.3175,58597.67474,NA,NA,NA,93.75,1
"94","05029 - EATONTOWN (RELO FROM 0","NJ","US","178 RTE 35 S, EATONTOWN, NJ, 7724",0.089,11.1,383400,716122.2133,"0.15",7944.267951,"183453.3426",20,70,17.5,17.5,-17222.18778,93805.97667,NA,NA,NA,292.5,1
"95","05708-LONGVIEW","WA","US","200 TRIANGLE CENTER STE 240, LONGVIEW, WA, 98632",0.045,17.7,581850,742064.1986,"0.15",8558.548529,"198295.7504",27.5,102.5,27.5,27.5,-202407.1623,101395.4081,NA,NA,NA,446.25,1
"96","09180-HSTN - WESTHEIMER (RELO","TX","US","2650 ELDRIDGE PKWY, HOUSTON, TX, 77082",0.016,25.2,761400,755793.4705,"0.15",8647.169424,"199450.2884",37.5,140,35,35,-374936.9154,101985.7629,NA,NA,NA,581.25,1
"97","08808-DC - STERLING","VA","US","46301 POTOMAC RUN PLAZA UNIT 1, STERLING, VA, 20164",0.09,11,419850,794759.8681,"0.15",7252.292395,"167410.4837",20,72.5,20,20,-13462.06181,85602.7135,NA,NA,NA,322.5,1
"98","04823-ABILENE","TX","US","3433 CATCLAW DR, ABILENE, TX, 79606",0.022,23.5,766800,802798.8637,"0.15",9167.045517,"211401.2264",40,140,35,35,-356301.4481,108096.6868,NA,NA,NA,585,1
"99","07757-PITT - FRAZER/PITTSBURGH","PA","US","1030 VILLAGE CENTER DR, TARENTUM, PA, 15084",0.031,21.2,711450,806991.3333,"0.15",9829.153487,"227195.2928",35,132.5,32.5,32.5,-298807.6948,116172.7338,NA,NA,NA,542.5,1
"100","09445-SLC - SUGARHOUSE","UT","US","2236 S 1300 ST E STE D-2, SALT LAKE CITY, UT, 84106",0.079,12.3,477900,820922.8895,"0.15",7611.944863,"175696.6564",22.5,85,22.5,22.5,-58134.01302,89839.71741,NA,NA,NA,366.25,1
"101","08762-AMHERST","NH","US","119 ROUTE 101A, AMHERST, NH, 3031",0.29,3,135810,826287.2009,"0.15",5323.389737,"121049.8799",20,42.5,5.5,0,286698.9431,61896.94912,NA,NA,NA,100,1
"102","04723-WOR - MILLBURY","MA","US","70 WORCESTER PROVIDENCE TURNPI, MILLBURY, MA, 1527",0.37,2.2,108540,838658.9966,"0.15",5701.520884,"129418.429",15,35,4.5,0,320295.0659,66176.07484,NA,NA,NA,80,1
"103","01158 ST.L - BRENTWOOD (OPEN 8","MO","US","1519 S BRENTWOOD BLVD, BRENTWOOD, MO, 63144",0.08,12.1,487350,842185.6442,"0.15",7975.877935,"184059.9463",25,87.5,22.5,22.5,-56711.63833,94116.15391,NA,NA,NA,372.5,1
"104","09529-PITTSFIELD","MA","US","555 HUBBARD AVE, PITTSFIELD, MA, 1201",0.371,2.2,108540,842341.2645,"0.15",5775.833552,"131105.2471",15,35,4.5,0,322177.9357,67038.60272,NA,NA,NA,80,1
"105","07764-SEBRING","FL","US","1740 US 27 N, SEBRING, FL, 33870",0.11,8.8,383400,842823.7142,"0.15",7309.671872,"168645.8652",20,70,17.5,17.5,47564.62868,86234.40636,NA,NA,NA,292.5,1
"106","02702-INDIANA","PA","US","475 BEN FRANKLIN RD S STE 24, INDIANA, PA, 15701",0.047,17.4,649350,844546.8148,"0.15",9718.78798,"224737.5104",32.5,117.5,30,30,-217504.2909,114915.9855,NA,NA,NA,496.25,1
"107","05700-PHX - GILBERT/GATEWAY","AZ","US","5020 S POWER RD, MESA, AZ, 85212",0.108,8.7,396900,847045.7348,"0.15",6636.035136,"151002.6554",50,125,20,0,36223.49239,77212.82899,NA,NA,NA,300,1
"108","N ORL-METARIE/EAST LA","LA","US","3226 VETERANS MEMORIAL BLVD, NEW ORLEANS, LA, 70002",0.098,9.8,427950,847794.637,"0.15",7694.634403,"177530.843",20,77.5,20,20,5556.431739,90777.59983,NA,NA,NA,327.5,1
"109","01679-HUNTSVILLE","AL","US","6275 UNIVERSITY DR STE 1, HUNTSVILLE, AL, 35806",0.098,9.9,427950,848153.1794,"0.15",8108.272745,"187272.2246",20,77.5,20,20,5739.766782,95758.70184,NA,NA,NA,327.5,1
"110","01087-SEA-GIG HARBOR-OPENS 04/","WA","US","4919 POINT FOSDICK DR NW, GIG HARBOR, WA, 98335",0.041,18.6,699300,857788.2195,"0.15",9317.994424,"215818.8499",35,125,32.5,32.5,-260683.5073,110355.569,NA,NA,NA,535,1
"111","04721-DFW - GARLAND","TX","US","5325 N GARLAND AVENUE, GARLAND, TX, 75040",0.023,23.3,820800,865499.7634,"0.15",9854.358959,"227278.0279",42.5,150,37.5,37.5,-378240.3308,116215.0391,NA,NA,NA,626.25,2
"112","07728-NAMPA","ID","US","16474 N MARKETPLACE BLVD, NAMPA, ID, 83651",0.033,20.7,761400,876969.5296,"0.15",9400.884536,"216916.4784",37.5,140,35,35,-312975.4465,110916.824,NA,NA,NA,581.25,2
